xmlid,xmleventtypeid,xmlticker,xmleventdate,xmlfakeqtr,xmlcity,xmlcompanyname,xmlymd,xmlcalldate,gvkey,datadate,tic,cusip,conm,rdq,exchg,fic,no_of_days
12294344,34,SY1.DE,1-Feb-19,Symrise,NAN,Symrise AG,20190201,1-Feb-19,,,,,,,,,
12234834,1,SY1.DE,13-Mar-19,Full Ye,Frankfurt,Symrise AG,20190313,13-Mar-19,,,,,,,,,
12395803,1,SYBX,12-Mar-19,Q4 2018,Austin,Synlogic Inc,20190312,12-Mar-19,32365,20181231,SYBX,87166L100,SYNLOGIC INC,20190312,14,USA,0
12403809,1,SYCRF,29-Mar-19,Full Ye,Hamilton,Syncora Holdings Ltd,20190329,29-Mar-19,,,,,,,,,
12293945,1,SYD.AX,20-Feb-19,Full Ye,"Sydney, New S",Sydney Airport Holdings Pt,20190220,20-Feb-19,,,,,,,,,
12430892,1,SYF,18-Apr-19,Q1 2019,Stamford,Synchrony Financial,20190418,18-Apr-19,20686,20190331,SYF,87165B103,SYNCHRONY FINANCIAL,20190418,11,USA,0
12322678,7,SYF,28-Feb-19,Synchro,New York,Synchrony Financial,20190228,28-Feb-19,20686,20181231,SYF,87165B103,SYNCHRONY FINANCIAL,20190123,11,USA,-36
12259041,1,SYF,23-Jan-19,Q4 2018,Stamford,Synchrony Financial,20190123,23-Jan-19,20686,20181231,SYF,87165B103,SYNCHRONY FINANCIAL,20190123,11,USA,0
12430572,1,SYK,23-Apr-19,Q1 2019,KALAMAZOO,Stryker Corp,20190423,23-Apr-19,10115,20190331,SYK,863667101,STRYKER CORP,20190423,11,USA,0
12290189,7,SYK,27-Feb-19,Stryker,New York,Stryker Corp,20190227,27-Feb-19,10115,20181231,SYK,863667101,STRYKER CORP,20190129,11,USA,-29
12252368,1,SYK,29-Jan-19,Q4 2018,KALAMAZOO,Stryker Corp,20190129,29-Jan-19,10115,20181231,SYK,863667101,STRYKER CORP,20190129,11,USA,0
12259130,1,SYKE,26-Feb-19,Q4 2018,TAMPA,Sykes Enterprises Inc,20190226,26-Feb-19,62732,20181231,SYKE,871237103,SYKES ENTERPRISES INC,20190225,14,USA,-1
12285407,7,SYMC,12-Feb-19,Symante,San Francisco,Symantec Corp,20190212,12-Feb-19,15855,20181231,SYMC,871503108,SYMANTEC CORP,20190131,14,USA,-12
12278893,7,SYMC,26-Feb-19,Symante,San Francisco,Symantec Corp,20190226,26-Feb-19,15855,20181231,SYMC,871503108,SYMANTEC CORP,20190131,14,USA,-26
12299848,7,SYMC,27-Feb-19,Symante,San Francisco,Symantec Corp,20190227,27-Feb-19,15855,20181231,SYMC,871503108,SYMANTEC CORP,20190131,14,USA,-27
12264979,1,SYMC,31-Jan-19,Q3 2019,MOUNTAIN VIEW,Symantec Corp,20190131,31-Jan-19,15855,20181231,SYMC,871503108,SYMANTEC CORP,20190131,14,USA,0
